
Hyperparameter Tuning — SVD Arm D
  Dataset:  movielens-20m
  Arm:      Joint Positive-Negative SVD (binary targets)
  Label:    pos_ge_4_neg_le_1
  Trials:   150
  Engine:   Optuna TPE
  Output:   outputs/movielens/ml-20m/tuning/arm_d/pos_ge_4_neg_le_1/best_params.json

  Preparing training data (once)...
  Joint train: 9,839,296 positives + 906,200 negatives = 10,745,496 rows

  Preparing candidate cache (once)...
    Candidate cache loaded  (5,000 users) ← candidates_n500_u5000_s42.parquet
    Evaluation users: 5,000

  Resuming Optuna study (48/150 trials done)
  [55/150] nDCG@10=0.0009  best=0.2822  trial_time=542.8s  ETA=14.32h
  [65/150] nDCG@10=0.2347  best=0.2836  trial_time=425.7s  ETA=11.43h
  [86/150] nDCG@10=0.0836  best=0.2837  trial_time=3146.3s  ETA=24.38h
  [92/150] nDCG@10=0.1939  best=0.2837  trial_time=2637.7s  ETA=27.20h
  [96/150] nDCG@10=0.2507  best=0.2837  trial_time=705.3s  ETA=22.37h
  [107/150] nDCG@10=0.2713  best=0.2837  trial_time=1040.2s  ETA=16.92h
  [121/150] nDCG@10=0.2713  best=0.2837  trial_time=1070.9s  ETA=11.01h
  [133/150] nDCG@10=0.2837  best=0.2837  trial_time=666.1s  ETA=6.04h
  [146/150] nDCG@10=0.2726  best=0.2837  trial_time=795.2s  ETA=1.36h
  [158/150] nDCG@10=0.2837  best=0.2837  trial_time=646.3s  ETA=-2.59h
  [174/150] nDCG@10=0.2231  best=0.2837  trial_time=1878.8s  ETA=-8.22h
